,ylat,xlong,p_area,p_tech_sec,p_axis,p_azimuth,p_tilt,p_cap_ac,p_cap_dc,p_type,p_agrivolt,p_zscore
37,44.62670136,-93.60919952,11541,c-si,single-axis,180,0.0,1.0,1.0,greenfield,non-agrivoltaic,0.398775
38,43.98080063,-95.7677002,44650,thin-film,fixed-tilt,180,,1.0,1.5,greenfield,non-agrivoltaic,-0.831989
39,45.27220154,-93.82820129,141816,c-si,single-axis,180,0.0,5.0,6.7,greenfield,non-agrivoltaic,-0.515333
40,45.3362999,-93.79180145,60871,c-si,single-axis,180,0.0,5.0,6.9,greenfield,non-agrivoltaic,1.01834
41,45.21310043,-93.71849823,85658,thin-film,fixed-tilt,180,0.0,5.0,6.5,greenfield,non-agrivoltaic,0.149053
42,45.1957016,-93.81220245,219735,c-si,single-axis,180,0.0,7.5,10.9,greenfield,agrivoltaic,-0.460563
43,45.21089935,-93.88269806,176789,c-si,single-axis,180,0.0,7.11,8.7,greenfield,non-agrivoltaic,-0.469703
44,45.24819946,-94.10890198,173223,c-si,single-axis,180,20.0,6.0,9.1,greenfield,agrivoltaic,-0.392632
45,45.43460083,-94.04029846,130755,c-si,single-axis,180,0.0,5.0,6.3,greenfield,non-agrivoltaic,-0.493586
46,45.43809891,-94.04519653,109992,c-si,single-axis,180,24.0,5.0,7.0,greenfield,non-agrivoltaic,-0.13495
47,45.47750092,-94.12159729,114848,c-si,fixed-tilt,180,20.0,5.0,5.0,greenfield,non-agrivoltaic,-0.601366
48,45.49950027,-94.11250305,147966,c-si,single-axis,180,25.0,5.0,7.0,greenfield,non-agrivoltaic,-0.513852
49,45.55649948,-94.11730194,68081,thin-film,fixed-tilt,180,30.0,4.0,4.0,contaminated,non-agrivoltaic,-0.248333
50,44.79650116,-93.4367981,21979,c-si,fixed-tilt,180,30.0,1.3,1.6,greenfield,non-agrivoltaic,0.0774527
51,45.14099884,-94.7684021,113224,c-si,single-axis,180,15.0,4.0,5.9,greenfield,agrivoltaic,-0.402476
52,44.75920105,-92.82489777,126760,c-si,single-axis,180,30.0,4.5,6.8,greenfield,agrivoltaic,-0.366852
53,44.32040024,-93.90409851,125098,c-si,single-axis,180,0.0,4.5,6.6,greenfield,agrivoltaic,-0.387407
54,44.31719971,-93.89759827,53524,c-si,single-axis,180,0.0,3.0,3.9,greenfield,non-agrivoltaic,0.0790244
55,45.40250015,-92.69400024,100922,c-si,single-axis,180,0.0,3.5,5.3,greenfield,agrivoltaic,-0.393041
